,start_sec,end_sec,seq_time,length,eventType,outcome,cross,keyPass,assist,xG,bodyPart,x,y,playerName,playerLastName
0,1337.254,1338.448,1.1940000000001874,2,Recovery,,,,,,,0.341642,0.940266,Ciro,Immobile
1,1337.254,1338.448,1.1940000000001874,2,Shot,Goal,,,,0.17885582891771504,Right Foot,0.353196,0.937721,Ciro,Immobile
12,3909.506,3913.677,4.1710000000002765,4,Shot,Goal,,,,0.1307678393179079,Right Foot,0.382767,0.872453,Lorenzo,Insigne
11,3909.506,3913.677,4.1710000000002765,4,Pass,Successful,False,True,True,,,0.463643,0.683618,Ciro,Immobile
8,3909.506,3913.677,4.1710000000002765,4,Pass,Successful,False,False,False,,,0.418608,0.50373,Manuel,Locatelli
10,3909.506,3913.677,4.1710000000002765,4,Pass Received,,,,,,,0.472058,0.68003,Ciro,Immobile
18,4361.053,4369.775,8.721999999999753,6,Pass Received,,,,,,,0.630878,0.914557,Domenico,Berardi
14,4361.053,4369.775,8.721999999999753,6,Recovery,,,,,,,0.662506,0.408725,Bryan,Cristante
15,4361.053,4369.775,8.721999999999753,6,Pass,Successful,False,False,False,,,0.594263,0.458124,Bryan,Cristante
16,4361.053,4369.775,8.721999999999753,6,Pass Received,,,,,,,0.303129,0.720049,Lorenzo,Insigne
17,4361.053,4369.775,8.721999999999753,6,Pass,Successful,False,True,True,,,0.356666,0.805573,Lorenzo,Insigne
19,4361.053,4369.775,8.721999999999753,6,Shot,Goal,,,,0.30994630554706537,Left Foot,0.596692,0.931588,Domenico,Berardi
7,2495.339,2504.55,9.21100000000024,5,Shot,Goal,,,,0.08507191575403354,Right Foot,0.626615,0.845822,Nicolo,Barella
5,2495.339,2504.55,9.21100000000024,5,Pass,Successful,False,True,True,,,0.423717,0.394237,Jorginho,
4,2495.339,2504.55,9.21100000000024,5,Pass Received,,,,,,,0.407914,0.379006,Jorginho,
2,2495.339,2504.55,9.21100000000024,5,Pass,Successful,False,False,False,,,0.407861,0.320711,Leonardo,Bonucci
6,2495.339,2504.55,9.21100000000024,5,Pass Received,,,,,,,0.624522,0.472426,Nicolo,Barella
